timestamp,Affordable / Affordability,Biden,Congress / Congressional,DHS / Homeland,Election,Epic Fury,FBI,Home / Housing,Hormuz,ID / Identification,Illegal Alien,Iran,Navy,Nuclear,Save Act / Save America Act,Terrorist / Narcoterrorist,Border,Canada / Canadian,China,Credit,Crypto / Bitcoin,Epstein,Healthcare,Hezbollah,ICE / National Guard,Israel,Kristi / Noem,Radical Left,Schumer,Shutdown / Shut Down,Stock Market,Stupid Question,Supreme Court,Tariff,Tomahawk,Ukraine,World Cup
2026-03-09T00:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,,,
2026-03-09T00:08:00Z,,,68.90,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,49.00,,,
2026-03-09T00:09:00Z,,,68.90,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,7.00,,49.00,,,
2026-03-09T00:10:00Z,,,68.90,,,,,,,,,,,,,,,,,,7.00,,20.00,,,,,,,,,7.00,,49.00,,,
2026-03-09T00:13:00Z,,,68.90,,,,,,,,,,,,,,,,,33.64,7.00,13.00,20.00,,,,,20.00,,,,7.00,,49.00,,,
2026-03-09T00:14:00Z,,,68.90,,,,,,,,,,,,,,,,,33.64,7.00,13.00,20.00,,,,,20.00,,,,7.00,,49.00,,,
2026-03-09T00:15:00Z,,,68.90,,,,,,,,,,,,,,,,,33.64,7.00,13.00,20.00,,,,,20.00,,,,7.00,,51.00,,,15.00
2026-03-09T00:19:00Z,,,68.90,,,,,,,,,,,,,,,,,33.64,7.00,13.00,20.00,,,,,20.00,,,,7.00,,51.00,,,15.00
2026-03-09T00:20:00Z,,,68.90,,,,,,,,,,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,,,7.00,,51.00,,,15.00
2026-03-09T00:23:00Z,,,68.90,,,,,,,,,,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,,,7.00,,53.11,,,15.00
2026-03-09T00:27:00Z,,,68.90,,,,,,61.00,,,,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,,,7.00,,53.11,,,15.00
2026-03-09T00:33:00Z,,,68.90,,,,,,61.00,,,,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:36:00Z,,,68.90,,31.00,,,,61.00,,,,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:40:00Z,,,68.90,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:42:00Z,57.00,,68.90,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:47:00Z,57.00,64.00,68.90,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:48:00Z,57.00,64.00,68.90,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,55.00,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:53:00Z,57.00,64.00,68.90,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,55.00,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:54:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,55.00,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:55:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,55.00,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:56:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,55.00,,,20.00,,49.42,,7.00,,53.11,,,15.00
2026-03-09T00:59:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,55.47,,,20.00,,49.00,,7.00,,53.11,,,15.00
2026-03-09T01:03:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,,33.64,7.00,13.00,20.00,,55.47,,,20.00,,49.00,,6.00,,53.11,,,15.00
2026-03-09T01:05:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,49.00,22.00,6.00,,53.11,,,15.00
2026-03-09T01:06:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,49.00,22.00,6.20,,53.11,,,15.00
2026-03-09T01:08:00Z,57.00,64.00,68.66,,31.00,,,,61.00,,,97.00,,,,,63.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,51.37,22.00,6.20,,53.11,,,15.00
2026-03-09T01:09:00Z,57.00,64.00,71.00,,31.00,,,,61.00,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,51.37,22.00,6.20,,53.11,,,15.00
2026-03-09T01:10:00Z,57.00,64.00,71.00,,31.00,,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,51.37,22.00,6.20,,53.11,,,15.00
2026-03-09T01:11:00Z,57.00,64.00,71.00,,31.00,,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,51.37,22.00,7.00,,53.11,,,15.00
2026-03-09T01:15:00Z,57.00,64.00,71.00,,31.00,,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.00,,,15.00
2026-03-09T01:17:00Z,57.00,64.00,71.00,,31.00,78.00,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.00,,,15.00
2026-03-09T01:18:00Z,57.00,64.00,71.00,,31.00,78.00,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.00,,,15.00
2026-03-09T01:20:00Z,57.00,64.00,71.00,,31.00,78.00,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.11,,,15.00
2026-03-09T01:21:00Z,57.00,64.00,71.00,,31.00,78.00,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.11,,,15.00
2026-03-09T01:22:00Z,57.00,64.00,71.00,,31.00,78.00,,,64.84,,,97.00,,,,,59.00,,54.00,33.64,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.11,,,15.00
2026-03-09T01:31:00Z,57.00,64.00,71.00,,31.00,78.00,,,64.84,,,97.00,,,,,59.00,,54.00,32.57,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.11,,,15.00
2026-03-09T01:32:00Z,57.00,64.00,71.00,,31.00,78.00,,62.00,64.84,,,97.00,,,,,59.00,,54.00,32.57,7.00,13.00,20.00,,55.47,,,20.00,,52.00,22.60,7.00,,53.11,,,15.00
